1,4072.63,105890
2,2554.91,8376.02
3,2789.72,84673.4
4,2809.09,60695.5
5,2943.93,14656.7
6,2978.23,2326.37
7,2961.29,14190.6
8,2962.04,2059.62
9,2996.57,1639.27
10,3025.04,2094.4
11,3024.11,1811.3
12,3014.24,2621.64
13,2982.12,2629.91
14,2986.32,1684.31
15,3011.21,1940.97
16,3020.09,1833.61
17,2939.49,4128.13
18,2954.48,3416.49
19,2971.69,3039.15
20,2935.95,3060.58
21,2912.88,1439.33
22,2937.36,2985.89
23,2957.23,4127.36
24,2917.66,2393.13
25,2971.89,3591.11
26,3002.46,2888.04
27,2962.45,1786.52
28,2900.45,4248.77
29,2904.87,1925.19
30,2923.78,3292.01
31,3169.73,14612
32,3034.35,7853.44
